mean_values, std_dev_values, skewness_values, kurtosis_values, rms_values, zc_rate_values, spectral_centroid_values, spectral_bandwidth_values, spectral_skewness_values, spectral_kurtosis_values, mean_rr_intervals, sdnn_values, rmssd_values, Category
-0.002421875,0.116810562,2.048098638,9.128038597,0.1168308,0.004000333,199.9307163,194.1880709,17.1870187,469.5658957,0.125915179,0.314870782,0.478420772,0
-0.002068888,0.115607203,2.005274421,8.599442548,0.115620897,0.003666972,199.9526256,193.9332308,14.32917793,322.3572862,0.118248988,0.299438152,0.45412663,0
-0.003952026,0.119125936,3.609171065,22.84232033,0.119186511,0.003666972,199.7967547,193.5402818,40.86453086,2290.667755,0.184054487,0.475188447,0.719692643,0
-0.002167969,0.120902014,1.807892705,7.71408473,0.120916413,0.004000333,199.9523694,193.8990593,12.84391775,223.7749116,0.120418367,0.301558628,0.458037846,0
-0.002723796,0.124414093,2.468012429,11.50921986,0.124438723,0.005333778,199.9208375,193.3401424,13.85429603,316.3477167,0.129683258,0.323359516,0.491549556,0
-0.003185628,0.124734623,4.023049097,24.50508001,0.1247701,0.004167014,199.8862807,193.0279173,19.13825124,522.8850053,0.162890173,0.432390461,0.652435564,0
-0.003543701,0.11647241,4.526078723,29.74444072,0.116521456,0.003666972,199.8316694,192.8577869,26.72563788,959.6539948,0.180080128,0.467164268,0.707079352,0
-0.001975505,0.104937453,1.683414923,7.125141997,0.104951674,0.000166681,199.9458011,194.5369133,32.53980488,1607.124879,0.137126168,0.340847088,0.518432315,0
-0.002483521,0.12233301,2.217449123,9.995501853,0.122353121,0.004167014,199.9342596,194.8830628,21.0322552,591.9069595,0.179355346,0.391650719,0.608056017,0
-0.001519979,0.11475919,2.082735694,9.064299488,0.114764474,0.004333694,199.9815827,193.2393221,10.08298922,134.5931806,0.109503745,0.279210188,0.422968497,0
0.001537679,0.33083772,3.416482696,15.91533536,0.330827509,0.007000583,200.012347,192.7614344,22.53560025,775.3408488,0.087241124,0.239204037,0.358945507,0
-0.002832031,0.111017435,1.813389962,8.023038007,0.111048927,0.00300025,199.8865812,194.7591381,15.76476752,366.0108432,0.144522613,0.354110724,0.539753088,0
0.000620728,0.274535531,-1.021744325,13.32076028,0.274524793,0.005167097,200.0156455,197.6685714,26.52339453,818.9279905,0.138490566,0.360447766,0.544983803,0
-0.002414754,0.176193742,4.255371657,24.58236986,0.176202948,0.005583799,199.9791029,190.7823023,19.36042242,531.4427132,0.140416667,0.324377448,0.498663705,0
-0.001259155,0.364464287,-0.047270002,4.972979304,0.364451276,0.004583715,200.0142805,197.3875981,23.21433592,610.6845499,0.075782895,0.222841291,0.331654673,0
-0.003480632,0.112207967,4.293286846,27.86089975,0.112257265,0.003833653,199.8243795,192.9743369,22.50288053,763.825986,0.179262821,0.469700421,0.710021354,0
-0.001890462,0.158026858,4.394323323,26.60225657,0.158031581,0.005167097,199.9880451,191.0518938,11.61288371,202.2660955,0.157208995,0.36764785,0.564317513,0
-0.002298177,0.110595476,2.2154431,9.797479551,0.110614744,0.004000333,199.930329,193.7792118,15.63546478,369.5325161,0.126351064,0.321245006,0.487037969,0
-0.00075826,0.133785131,0.571459263,5.917230295,0.133781706,0.002166847,200.0102425,196.3475226,30.51051773,1155.639634,0.156657754,0.338787061,0.526629001,0
